"","V1","V2","V3","V4","V5","V6"
"1",0.858895705521472,1.99386503067485,NA,NA,NA,NA
"2",2.74846625766871,1.09815950920245,0.49079754601227,0.355828220858896,NA,NA
"3",2.28220858895706,1.09815950920245,0.355828220858896,NA,NA,NA
"4",1.09815950920245,0.858895705521472,1.99386503067485,NA,NA,NA
"5",0.852760736196319,2.74846625766871,1.99386503067485,NA,NA,NA
"6",0.49079754601227,2.28220858895706,0.355828220858896,0.177914110429448,0.98159509202454,NA
"7",0.355828220858896,1.99386503067485,NA,NA,NA,NA
"8",1.99386503067485,1.09815950920245,0.852760736196319,1.96932515337423,0.177914110429448,0.809815950920245
"9",1.96932515337423,1.09815950920245,0.852760736196319,0.355828220858896,0.98159509202454,NA
"10",0.177914110429448,1.09815950920245,NA,NA,NA,NA
"11",0.98159509202454,1.09815950920245,1.96932515337423,0.45398773006135,NA,NA
"12",0.809815950920245,2.74846625766871,1.99386503067485,NA,NA,NA
"13",0.45398773006135,0.98159509202454,0.809815950920245,NA,NA,NA
