"","AIC","K0","M0","M0.K0","L0","r","mu","n"
"1",386.652284729306,0.582326161993651,0.378961407595641,0.650771736406671,1.02262604286324,0.341686283597148,0.867026131982712,0.562918124821644
"2",627.201488980547,1.06471257212016,0.702512075485545,0.659813825703806,1.46731488225996,0.363166738894427,2.83047499333728,0.751804175221755
"3",504.773544752593,0.224704970647605,0.313663927590863,1.39589225234705,0.672154619585843,0.470855147110032,2.65598522414051,0.881902984722979
"4",414.257109433218,0.373612212056432,0.210794653301519,0.564207074873878,0.571505298316421,0.547654903006056,1.14188484545481,0.815397626003558
"5",389.279798887831,0.47872131831769,0.193896935332842,0.405030918644338,0.950167873368955,0.746537220517723,0.994915736036747,0.805112203667386
"6",290.516914074823,1.62939329313328,0.213106782295154,0.130789038590772,0.692903658808312,0.459944379930356,0.495009798940424,0.569489770199878
"7",256.478611531333,0.340017482366863,0.175472254411805,0.516068330340963,4.33649525428128,0.924007863396473,0.375323325987408,0.532477087721182
"8",559.420155584493,0.411563403022349,0.456388405446897,1.10891396585647,1.36466722296768,0.572077684448003,2.08897368368687,0.781525057490715
"9",566.310715345242,0.622091155639556,0.618709721604554,0.994564407475741,1.87344103456475,0.521203636543274,1.99427406473914,0.689756923311599
"10",133.37458447335,483885.632900322,0.0479980464979272,9.91929564228549e-08,0.126693422923953,0.515767495746509,0.22055499474166,0.782376062015063
"11",345.646216420839,0.282810197889417,0.167813075389738,0.593377030397454,0.398517354847577,0.497771687969513,1.03877109416875,0.838450380134974
"12",378.340499635594,2.84189247714859,0.412661914744214,0.145206730396168,1.03754842892426,0.191985693783877,0.81269252887623,0.492228733399541
"13",270.088208267962,0.192245311372771,0.205717979567655,1.07008060742122,1.05843531220964,0.650140458219258,0.462847751945233,0.555538557326736
