"","AIC","K0","M0","M0.K0","L.1.","L.2.","L.3.","L.4.","L.5.","L.6.","r"
"1",369.762182214157,0.405863460431678,0.175990168507924,0.433619149456668,1.22741286042001,1.01244456531967,NA,NA,NA,NA,0.316259950612971
"2",616.628894970188,1.11699560750261,0.511573352896631,0.457990478620063,1.34279760239648,2.36756299458989,0.888070564859053,1.66896636187444,NA,NA,0.254855711015654
"3",498.82256605465,9.6796506533661e-05,0.000125580965911118,1.2973708495094,0.000265051991476328,0.00132590759892267,0.000441841317841685,NA,NA,NA,0.446076860429263
"4",402.537000812042,6.33476766451973e-05,2.48251990341126e-05,0.391888074651191,8.17233632765392e-05,0.000154652210638828,0.000302536432632225,NA,NA,NA,0.425925164502365
"5",387.399295019312,0.475313127363593,0.144265950519176,0.303517706989017,1.53427458116797,2.53288654041844,1.824415576183,NA,NA,NA,0.449332511333484
"6",278.236773992065,1.75342809239539,0.0850839295965841,0.0485243335415879,0.900069447275998,2.34569540416508,0.363254538165335,0.532781368040302,0.8849642759291,NA,0.179651073079166
"7",253.367445526388,0.304574160620047,0.143152410212209,0.470008387844793,752080.276594969,5.11547082576416,NA,NA,NA,NA,0.745161415839877
"8",543.194804178938,0.345566881139749,0.281742059887381,0.815303998340753,2.4781079251514,1.282587741525,0.662726292312784,0.365987862674204,NA,NA,0.443641315087022
"9",556.094102257523,0.741118568177939,0.57933620181601,0.781705150419217,2.8891812869352,2.08787789813448,1.78403510681022,NA,NA,NA,0.320333716231146
"10",124.385022474647,23.8401396532804,1.20024587989262e-07,5.03455893022616e-09,3.05869115924681e-07,2.06998180924978e-06,NA,NA,NA,NA,0.267912869574389
"11",327.390257169735,9.32089622024521e-07,3.57969851309894e-07,0.384050892587319,1.01897750373113e-06,6.1247823875191e-06,3.88875459081645e-06,1.17181822202222e-06,NA,NA,0.208211867770758
"12",359.573810983473,4.44728579974097,0.188039536865843,0.0422818647897096,0.764083068090318,2.09869852593659,2.10781372244428,NA,NA,NA,4.14593748580416e-07
"13",252.259461241459,0.0230474815674684,0.0167813861791259,0.728122338659894,0.625293093236916,0.207665656486367,0.188087907031747,NA,NA,NA,0.633540951654251
